NewsPaper Name,Location / Area,Dist. Frequency
Laredo Morning Times Newspapers,"Laredo, TX",
Largo Gazette,"Landover, MD",Weekly
Largo Leader,"Largo, FL",Weekly
Lariat,"Waco, TX",Daily
Larson Newspapers,"Sedona, AZ",
Las Cruces Bulletin,"Las Cruces, NM",Weekly
Las Cruces Sun-News,"Las Cruces, NM",
Las Noticas del Valle,"Hanford, CA",Daily
Las Vegas City Life,"Las Vegas, NV",Weekly
Las Vegas CityLife,"Las Vegas, NV",
Las Vegas Israelite,"Las Vegas, NV",
Las Vegas Optic,"Las Vegas, NM",
Las Vegas Review-Journal,"Las Vegas, NV",
Las Vegas Review-Journal,"Washington, DC",
Las Vegas Review-Journal,"Henderson, NV",
Las Vegas Review-Journal – Carson City Bureau,"Carson City, NV",Daily
Las Vegas Review-Journal – Washington Bureau,"Washington, DC",Daily
Las Vegas Sun,"Henderson, NV",
Las Vegas Sun – Carson City Bureau,"Carson City, NV",Daily
Las Vegas Tribune,"Las Vegas, NV",
Las Vegas Weekly,"Henderson, NV",Weekly
Lassen County Times,"Susanville, CA",
Latin Publications Inc.,"Van Nuys, CA",
Latino Internacional – Orlando Edition,"Seminole, FL",Weekly
Latrobe Bulletin,"Latrobe, PA",
Latter Day Saints Church News [Deseret News],"Salt Lake City, UT",Daily
Laughlin Nevada Times,"Laughlin, NV",
Laurel and Hattiesburg Impact,"Bay Springs, MS",Weekly
Laurel Gazette,"Landover, MD",Weekly
Laurel Leader,"Laurel, MD",
Laurel Leader-Call,"Laurel, MS",
Laurens County Advertiser,"Laurens, SC",
Laurinburg Exchange,"Laurinburg, NC",
Lawndale News/West Side Times,"Cicero, IL",Weekly
Lawrence Journal-World,"Lawrence, KS",
Lawson Review,"Lawson, MO",
Lawton Constitution,"Lawton, OK",
Le Journal de Qu├⌐bec,"Vanier, QC",
Le Mars Daily Sentinel,"Le Mars, IA",Daily
Le Roy Independent,"Le Roy, MN",
Le Soleil de la Floride,"Dania, FL",Weekly
Leader,"Port Townsend, WA",
Leader,"Locust Valley, NY",
Leader,"Corning, NY",
Leader,"Davenport, IA",
Leader,"Niles, MI",Weekly
Leader,"Houston, TX",Weekly
Leader,"Rock Island, IL",Weekly
Leader,"Mabank, TX",Weekly
Leader,"Philadelphia, PA",Weekly
"Leader Newspapers, Inc.","Lyndhurst, NJ",
Leader Observer,"Maspeth, NY",Weekly
Leader Times,"Kittanning, PA",
Leader-Herald,"Gloversville, NY",
Leaderland [Madison Daily Leader],"Madison, SD",Daily
Leader-Telegram,"Eau Claire, WI",
Leader-Telegram – Menomonie Bureau,"Menomonie, WI",Daily
Leader-Times,"Kittanning, PA",Daily
Leaf-Chronicle,"Clarksville, TN",
Leaven,"Kansas City, KS",Weekly
Leavenworth Times,"Leavenworth, KS",
Lebanon Daily News,"Lebanon, PA",Daily
Lebanon Daily Record,"Lebanon, MO",
Lebanon Democrat,"Lebanon, TN",
Lebanon Reporter,"Lebanon, IN",
Ledger,"Lakeland, FL",
Ledger,"Bartow, FL",
Ledger,"Rustburg, VA",
Ledger,"Winter Haven, FL",
Ledger Dispatch,"Antioch, CA",Daily
Ledger Independent,"Maysville, KY",Daily
Ledger Newspapers,"Quarryville, PA",
Lee County Neighbors [Northeast Mississippi Daily Journal],"Tupelo, MS",Daily
Lee County Plus [Northeast Mississippi Daily Journal],"Tupelo, MS",Daily
Lee Newspapers,"Selma, CA",
Lee Town Shopper,"Des Moines, IA",Weekly
Lee’s Summit Tribune,"Lees Summit, MO",
Leesburg Today,"Leesburg, VA",
Leesville Daily Leader,"Leesville, LA",Daily
Leisure & Outdoors [Deseret News],"Salt Lake City, UT",Daily
Leisure Magazine [Borger News-Herald],"Borger, TX",Daily
Leisure Times [Virginian Review],"Covington, VA",Daily
Leisure/Arts [Times],"Trenton, NJ",Daily
Lenoir News-Topic,"Lenoir, NC",Daily
LEO/Louisville Eccentric Observer,"Louisville, KY",Weekly
Let’s Go [Alliance Review],"Alliance, OH",Daily
Lewiston Morning Tribune,"Lewiston, ID",Daily
Lewiston Tribune,"Lewiston, ID",
Lewisville Leader,"Lewisville, TX",Weekly
Lexington Herald-Leader,"Lexington, KY",
Lexington Herald-Leader,"Frankfort, KY",
Lexington Herald-Leader,"Washington, DC",
LI Life [Newsday],"Melville, NY",Daily
Liberty Suburban Chicago Newspapers,"Downers Grove, IL",
Liberty Sun,"Liberty, MO",Weekly
"Liberty Times, USA","Flushing, NY",Daily
Life [Charleston Daily Mail],"Charleston, WV",Daily
Life [Washington Times],"Washington, DC",Daily
Life Newspapers – Riverside,"Riverside, IL",
Life/Features [Ledger Independent],"Maysville, KY",Daily
Life/Food [Ledger Independent],"Maysville, KY",Daily
Life/Home & Garden [Ledger Independent],"Maysville, KY",Daily
Life/Style [Indianapolis Star],"Indianapolis, IN",Daily
Lifebeat Weekend [Providence Journal],"Providence, RI",Daily
Lifeline [Daily News],"New York, NY",Daily
Lifestyle [Houston Chronicle],"Houston, TX",Daily
Lifestyle [Milwaukee Journal Sentinel],"Milwaukee, WI",Daily
Lifestyle [Post-Tribune],"Merrillville, IN",Daily
Lifestyles [Alva Review-Courier],"Alva, OK",Daily
Lifestyles [Chronicle],"Centralia, WA",Daily
Lifestyles [Daily Ardmoreite],"Ardmore, OK",Daily
Lifestyles [Hillsdale Daily News],"Hillsdale, MI",Daily
Lifestyles [Kingsport Times-News],"Kingsport, TN",Daily
Lifetimes [Sacramento Bee],"Sacramento, CA",Daily
Lillie Suburban Shopping Review,"New Brighton, MN",Weekly
Lima News,"Lima, OH",
Lincoln County Journal,"Troy, MO",Weekly
Lincoln Courier,"Lincoln, IL",Daily
Lincoln Courier Lifestyle [Lincoln Courier],"Lincoln, IL",Daily
Lincoln Journal Star,"Lincoln, NE",
LINK,"Greenville, SC",
Linton Daily Citizen,"Linton, IN",Daily
Litchfield County Times,"New Milford, CT",Weekly
Little Rock Free Press,"Little Rock, AR",Weekly
Live,"Baltimore, MD",Daily
Live [La Crosse Tribune],"La Crosse, WI",Daily
Liverpool/Phoenix Pennysaver,"Syracuse, NY",Weekly
Living [Deseret News],"Salt Lake City, UT",Daily
Living [Omaha World-Herald],"Omaha, NE",Daily
Living [Press-Enterprise],"Riverside, CA",Daily
Living [Tennessean],"Nashville, TN",Daily
Living Stones News,"Duluth, MN",
Living Well [Lexington Herald-Leader],"Lexington, KY",Daily
Livingston County Daily Press & Argus,"Howell, MI",
Livingston County News,"Geneseo, NY",
Livingston Enterprise,"Livingston, MT",Daily
Livonia Observer,"Livonia, MI",Weekly
Llano Buzz & County Journal,"Llano, TX",
L’observateur,"La Place, LA",
Local Carousel [Daily Ardmoreite],"Ardmore, OK",Daily
Lockhart Post-Register,"Lockhart, TX",
Lockport Journal,"Lockport, NY",Daily
Lockport Union-Sun & Journal,"Lockport, NY",
Lodi Lode [Record],"Stockton, CA",Daily
Lodi News-Sentinel,"Lodi, CA",
Lodi/Maywood/Rochelle Park Shopper,"Lodi, NJ",Weekly
Log Cabin Democrat,"Conway, AR",
Logan Banner,"Logan, WV",Daily
Logan Daily News,"Logan, OH",Daily
Lombardian,"Lombard, IL",Weekly
Lompoc Record,"Lompoc, CA",
Lone Grove Ledger,"Lone Grove, OK",
Long Beach Press-Telegram,"Long Beach, CA",Daily
Long Beach Press-Telegram – DC Bureau,"Washington, DC",Daily
Long Island Catholic,"Rockville Centre, NY",Weekly
Long Island Catholic,"Roosevelt, NY",Weekly
Long Island City Journal,"Maspeth, NY",Weekly
Long Island Jewish World,"Great Neck, NY",Weekly
Long Island Press,"Syosset, NY",
Long Island Weekly,"New York, NY",Daily
Longboat Observer,"Longboat Key, FL",Weekly
Longmont Daily Times-Call,"Longmont, CO",Daily
Longview Daily News,"Longview, WA",Daily
Longview News-Journal,"Longview, TX",
Loogootee Tribune,"Loogootee, IN",
Look [Kansas City Star],"Kansas City, MO",Daily
Los Alamos Monitor,"Los Alamos, NM",
Los Altos Town Crier,"Los Altos, CA",
Los Angeles Bay News Observer (Antelope Valley Edition),"Bakersfield, CA",Weekly
Los Angeles Beat Newspapers,"Los Angeles, CA",
Los Angeles Daily News,"Woodland Hills, CA",
Los Angeles Daily News,"Palmdale, CA",
Los Angeles Daily News,"Valencia, CA",
Los Angeles Daily News,"Los Angeles, CA",
Los Angeles Downtown News,"Los Angeles, CA",Weekly
Los Angeles Independent,"Los Angeles, CA",Weekly
Los Angeles Sentinel,"Los Angeles, CA",
Los Angeles Times,"Los Angeles, CA",
Los Angeles Times,"New York, NY",
Los Angeles Times,"Costa Mesa, CA",
Los Angeles Times,"Washington, DC",
Los Angeles Times,"Pasadena, CA",
Los Angeles Times,"Santa Monica, CA",
Los Angeles Times,"San Francisco, CA",
Los Angeles Times,"Sacramento, CA",
Los Angeles Times,"Riverside, CA",
Los Angeles Times,"Chicago, IL",
Los Angeles Times,"Santa Ana, CA",
Los Angeles Times – Atlanta Bureau,"Atlanta, GA",Daily
Los Angeles Times – Chicago Bureau,"Chicago, IL",Daily
Los Angeles Times – Houston Bureau,"Houston, TX",Daily
Los Angeles Times – Long Beach Bureau,"Long Beach, CA",Daily
Los Angeles Times – Los Angeles Bureau National Edition,"Los Angeles, CA",Daily
Los Angeles Times – New York Bureau,"New York, NY",Daily
Los Angeles Times – Orange County Edition,"Costa Mesa, CA",Daily
Los Angeles Times – Riverside Bureau,"Riverside, CA",Daily
Los Angeles Times – Sacramento Bureau,"Sacramento, CA",Daily
Los Angeles Times – San Diego Bureau,"San Diego, CA",Daily
Los Angeles Times – San Francisco Bureau,"San Francisco, CA",Daily
Los Angeles Times – San Gabriel Weekly Section,"Pasadena, CA",Daily
Los Angeles Times – Santa Monica Bureau,"Santa Monica, CA",Daily
Los Angeles Times – Valley Edition,"Chatsworth, CA",Daily
Los Angeles Times – Ventura Bureau,"Ventura, CA",Daily
Los Angeles Times – Washington Bureau,"Washington, DC",Daily
Los Angeles Times – Western News Bureau,"Denver, CO",Daily
Los Angeles Times Magazine [Los Angeles Times],"Los Angeles, CA",Daily
Los Gatos Daily News,"Los Gatos, CA",Daily
Loudoun Easterner,"Ashburn, VA",Weekly
Louisiana Weekly,"New Orleans, LA",Weekly
Louisville Eccentric Observer,"Louisville, KY",
Loveland Daily Reporter-Herald,"Loveland, CO",Daily
Lovely County Citizen,"Eureka Springs, AR",
Lovington Daily Leader,"Lovington, NM",
Lubbock Avalanche-Journal,"Lubbock, TX",
Lubec Light,"Lubec, ME",
Ludington Daily News,"Ludington, MI",
Lufkin Daily News,"Lufkin, TX",
Luso Americano,"Newark, NJ",Weekly
Lynden Tribune,"Lynden, WA",
Lynn Journal,"Revere, MA",Weekly
Lynnfield Peabody Weekly News,"Peabody, MA",Weekly
Lynwood Press,"Los Angeles, CA",Weekly
Lyons Daily News,"Lyons, KS",Daily
M & M Journal,"Hillsboro, IL",Weekly
Mableton Neighbor,"Marietta, GA",Weekly
Mach Meter,"Cannon A F B, NM",
Mackinaw Journal,"Cheboygan, MI",
Macomb Daily,"Mount Clemens, MI",
Macomb Journal,"Macomb, IL",
Macomb Township Chronicle,"Warren, MI",
Macon Chronicle-Herald,"Macon, MO",
Macon Telegraph,"Macon, GA",Daily
Madera Tribune,"Madera, CA",
Madison Capital Times,"Madison, WI",Daily
Madison County Advertiser,"Richmond, KY",Weekly
Madison Courier,"Madison, IN",Daily
Madison Daily Leader,"Madison, SD",Daily
Madison Independent Press,"New Providence, NJ",Weekly
Madison Park News,"Warren, MI",
Madison Press,"London, OH",Daily
Madisonian/Morgan County Citizen,"Madison, GA",
Madras Pioneer,"Madras, OR",
Mag [Journal-World],"Lawrence, KS",Daily
Mahogany Revue,"Ocala, FL",Weekly
Mahoning Valley Review Newspaper,"Niles, OH",Weekly
Mail Tribune,"Medford, OR",
Main Line Life,"Wynnewood, PA",
Main Line Newspapers,"Ardmore, PA",
Maine Sunday Telegram,"Portland, ME",Daily
Mainline Newspapers,"Ebensburg, PA",
Malden Evening News & Medford Daily Mercury,"Malden, MA",Daily
Malibu Times,"Malibu, CA",
Malone Telegram,"Malone, NY",Daily
Malvern Daily Record,"Malvern, AR",Daily
Manassas Journal Messenger,"Manassas, VA",
Manatee Herald-Tribune,"Bradenton, FL",Daily
Manchester Daily Express,"Manchester, NH",
Manchester Enterprise,"Manchester, KY",
Manchester Reminder,"Vernon Rockville, CT",Weekly
Manhattan Mercury,"Manhattan, KS",Daily
Manhattan Spirit,"New York, NY",Weekly
Manistee News-Advocate,"Manistee, MI",
Manteca Bulletin,"Manteca, CA",
Maple Valley News,"Hastings, MI",Weekly
Maquoketa Sentinel Press,"Maquoketa, IA",
Marco Eagle,"Marco Island, FL",
Margate-Coconut Creek Forum,"Coconut Creek, FL",Weekly
Marietta Daily Journal,"Marietta, GA",
Marietta Times,"Marietta, OH",
Marin Independent Journal,"Novato, CA",
Marin Scope Community Newspapers,"Sausalito, CA",
Marion Daily Republican,"Marion, IL",Daily
Marion Star,"Marion, OH",Daily
Marion Star & Mullins Enterprise,"Marion, SC",
Mark I Publications,"Rego Park, NY",
Market Journal,"Grayslake, IL",Weekly
Market Review [Star Tribune],"Minneapolis, MN",Daily
Marketeer Pennysaver – Canarsie/Bayview/Paerdegats/Sea View Edition,"Hicksville, NY",Weekly
Marquee [Home News Tribune],"East Brunswick, NJ",Daily
Marquee [Sun Herald],"Gulfport, MS",Daily
Marshall Ad-Visor,"Marshall, MI",Weekly
Marshall Democrat-News,"Marshall, MO",
Marshall Independent,"Marshall, MN",
Marshall Mountain Wave,"Marshall, AR",
Marshall News Messenger,"Marshall, TX",Daily
Marshfield News-Herald,"Marshfield, WI",
Marthas Vineyard Times,"Vineyard Haven, MA",Weekly
Martha’s Vineyard Times,"Vineyard Haven, MA",
Martinsville Bulletin,"Martinsville, VA",
Maryland Coast-Dispatch,"Ocean City, MD",Weekly
Maryland Construction [Daily Record],"Baltimore, MD",Daily
Maryland Gazette,"Glen Burnie, MD",Weekly
Maryland Independent,"Waldorf, MD",
Maryland Pennysaver,"Waldorf, MD",Weekly
Marysville Journal Tribune,"Marysville, OH",
Marysville Journal-Tribune,"Marysville, OH",Daily
Maryville Daily Forum,"Maryville, MO",
Mason City Banner Times,"Mason City, IL",Weekly
Massachusetts Daily Collegian,"Amherst, MA",Daily
Massapequa/Massapequa Park Town Crier,"Plainview, NY",Weekly
Mattoon Journal Gazette,"Mattoon, IL",Daily
Maui News,"Wailuku, HI",
Maui Scene [Maui News],"Wailuku, HI",Daily
Maui Time Weekly,"Wailuku, HI",
Maxwell/Gunter Dispatch,"Maxwell A F B, AL",
Mayfair News Gleaner,"Philadelphia, PA",Weekly
Mayfield Messenger,"Mayfield, KY",Daily
Mc Kean County Press,"Bradford, PA",
McAlester News-Capital,"McAlester, OK",
McAlester News-Capital & Democrat,"McAlester, OK",Daily
McCook Daily Gazette,"McCook, NE",
McCreary County Record,"Whitley City, KY",
McCurtain Daily Gazette,"Idabel, OK",Daily
McDowell News,"Marion, NC",
McDuffie Progress,"Thomson, GA",
McKeesport Daily News,"Mckeesport, PA",Daily
McKinney Courier-Gazette,"Mc Kinney, TX",Daily
McLean Times,"Reston, VA",Weekly
McLeod County Chronicle,"Glencoe, MN",
McPherson Sentinel,"Mcpherson, KS",Daily
Meadville Tribune,"Meadville, PA",
Mechanicsburg Shopper,"Mount Joy, PA",Weekly
Mechanicsville Local,"Mechanicsville, VA",Weekly
Medford Mail Tribune,"Medford, OR",Daily
Medford Mail Tribune – Ashland Bureau,"Ashland, OR",Daily
Media General,"Mooresville, NC",
Media General Newspapers,"Wytheville, VA",
Medicine Hat News,"Medicine Hat, AB",
Medina County Gazette,"Medina, OH",
Megawatt Daily,"Washington, DC",Daily
Memphis Flyer,"Memphis, TN",Weekly
Menomonee Falls Tribune,"Menomonee Falls, WI",Weekly
Mensaje,"Elizabeth, NJ",Weekly
Merced County Times,"Winton, CA",Weekly
Merced Sun Star,"Merced, CA",
Merced Sun-Star,"Merced, CA",Daily
Merchant Shopper,"Searcy, AR",Weekly
Mercury,"Pottstown, PA",
Mercury-Register,"Oroville, CA",
Meridian Star,"Meridian, MS",
Merrick-Bellmore Tribune,"Island Park, NY",Weekly
Merrimack Journal,"Dracut, MA",Weekly
Mesabi Daily News,"Virginia, MN",Daily
Mesquite News,"Mesquite, TX",Weekly
Messenger,"Madisonville, KY",
Messenger,"Fort Dodge, IA",
Messenger,"Concord, NH",Weekly
Messenger,"Seneca, SC",Daily
Messenger [Gallup Independent],"Gallup, NM",Daily
Methow Valley News,"Twisp, WA",
Metro,"Philadelphia, PA",Daily
Metro – New York Edition,"New York, NY",Daily
Metro Boston,"Boston, MA",
Metro Business [Richmond Times-Dispatch],"Richmond, VA",Daily
Metro Herald,"Alexandria, VA",Weekly
Metro Home [Des Moines Register],"Des Moines, IA",Daily
Metro Lutheran,"Minneapolis, MN",Weekly
Metro New York,"New York, NY",
Metro Pulse,"Knoxville, TN",
Metro San Diego Communications Inc.,"San Diego, CA",
Metro Santa Cruz,"Santa Cruz, CA",Weekly
Metro Silicon Valley,"San Jose, CA",
Metro Spirit,"Augusta, GA",Weekly
Metro Times,"Detroit, MI",
Metro Voice,"Lees Summit, MO",Weekly
Metro Weekender,"Houston, TX",Weekly
Metroactive,"San Jose, CA",Weekly
Metrocom Herald,"San Antonio, TX",Weekly
Metroland,"Albany, NY",
Metropolitan News,"Brooklyn, NY",Weekly
MetroWest Daily News,"Framingham, MA",
Mexia Daily News,"Mexia, TX",Daily
Mexico Ledger,"Mexico, MO",
Miami County Republic,"Paola, KS",
Miami Herald,"Miami, FL",
Miami Herald,"Fort Lauderdale, FL",
Miami Herald,"Pembroke Pines, FL",
Miami Herald,"Tallahassee, FL",
Miami Herald,"Key West, FL",
Miami Herald,"Washington, DC",
Miami Herald – Broward Neighbors Edition,"Miami, FL",Daily
Miami Herald – Central Florida Bureau,"Vero Beach, FL",Daily
Miami Herald – Key West Bureau,"Key West, FL",Daily
Miami Herald – Pembroke Pines Bureau,"Hollywood, FL",Daily
Miami Herald – Tallahassee Bureau,"Tallahassee, FL",Daily
Miami Herald – Washington Bureau,"Washington, DC",Daily
Miami Laker,"Miami Lakes, FL",Weekly
Miami New Times,"Miami, FL",
Miami News Record,"Miami, OK",
Miami News-Record,"Miami, OK",Daily
Miami Times,"Miami, FL",Weekly
Michigan Catholic Newspaper,"Detroit, MI",Weekly
Michigan Chronicle,"Detroit, MI",Weekly
Michigan Citizen,"Detroit, MI",Weekly
Michigan Daily,"Ann Arbor, MI",Daily
Mid South Tribune,"Memphis, TN",Weekly
Mid-County Chronicle,"Nederland, TX",Weekly
Mid-De Kalb Neighbor,"Atlanta, GA",Weekly
Middlesboro Daily News,"Middlesboro, KY",Daily
Middlesex East [Daily Times Chronicle],"Woburn, MA",Daily
Middletown Journal,"Middletown, OH",
Middletown Press,"Middletown, CT",
Middletown/Brunswick Gazette,"Frederick, MD",Weekly
Midland Daily News,"Midland, MI",
Midland Reporter-Telegram,"Midland, TX",
Midlothian Today,"Desoto, TX",Weekly
Midsouth Newspapers,"Haleyville, AL",
Mid-South Tribune,"Memphis, TN",
Midtown Messenger,"Phoenix, AZ",
Midtown Resident,"New York, NY",Weekly
Mid-Valley Town Crier,"Weslaco, TX",Weekly
MidWeek Publications,"Kaneohe, HI",
Midwest Messenger,"Tekamah, NE",Weekly
Mile High Style [Rocky Mountain News],"Denver, CO",Daily
Miles City Star,"Miles City, MT",
Milestones [Gazette],"Cedar Rapids, IA",Daily
Milford Daily News,"Milford, MA",
Milford Weekly,"Milford, CT",Weekly
Mill Creek View,"Mill Creek, WA",
Millbrae/San Bruno Sun,"Burlingame, CA",Weekly
Millen News,"Millen, GA",Daily
Miller Publishing Company,"Franklin, OH",
Millville News,"Bridgeton, NJ",Daily
Milton Independent,"Milton, VT",
Milwaukee Community Journal,"Milwaukee, WI",Weekly
Milwaukee Courier,"Milwaukee, WI",Weekly
Milwaukee Journal Sentinel,"Milwaukee, WI",
Milwaukee Journal Sentinel,"Cedarburg, WI",
Milwaukee Journal Sentinel,"Waukesha, WI",
Milwaukee Journal Sentinel,"Madison, WI",
Milwaukee Journal Sentinel – Washington Bureau,"Washington, DC",Daily
Milwaukee Journal Sentinel – Waukesha Bureau,"Waukesha, WI",Daily
Minden Press-Herald,"Minden, LA",Daily
Mineral Daily News Tribune,"Keyser, WV",Daily
Mineral Daily News-Tribune,"Keyser, WV",
Mineral Wells Index,"Mineral Wells, TX",
Ming Pao Daily News,"Long Island City, NY",
Mining Journal,"Marquette, MI",
Miniondas,"Santa Ana, CA",Weekly
MiniSignal [Signal],"Valencia, CA",Daily
Minnesota Daily,"Minneapolis, MN",Daily
Minnesota Spokesman-Recorder,"Minneapolis, MN",
Minnesota Women’s Press,"Saint Paul, MN",Weekly
Minot Daily News,"Minot, ND",
Miramar Community News,"Weston, FL",Weekly
Mirror,"Springfield, MO",
Mirror of Royal Oak,"Royal Oak, MI",Weekly
Mishawaka Enterprise,"Mishawaka, IN",
Mission News Group,"Coto de Caza, CA",
Mission Progress-Times,"Mission, TX",
Mission Viejo News,"Coto De Caza, CA",Weekly
Mississippi Press,"Gautier, MS",
Mississippi Press,"Pascagoula, MS",Daily
Mississippi Press – Lucedale Bureau,"Lucedale, MS",Daily
Mississippi Press – Ocean Springs Bureau,"Ocean Springs, MS",Daily
Missoula Independent,"Missoula, MT",
Missoulian,"Missoula, MT",
Missoulian,"Helena, MT",
Missoulian – State Bureau,"Helena, MT",Daily
Missouri State Post,"Kansas City, KS",Weekly
Missouri Valley Shopper,"Yankton, SD",Weekly
Missourian Publishing Co.,"Washington, MO",
Mitchell News-Journal,"Spruce Pine, NC",
MKE,"Milwaukee, WI",
Moberly Monitor-Index & Democrat,"Moberly, MO",Daily
Moberly Monitor-Index & Evening Democrat,"Moberly, MO",
Mobile Press-Register,"Mobile, AL",
Mobile Press-Register,"Montgomery, AL",
Mobile Register,"Mobile, AL",Daily
Mobile Register – Washington Bureau,"Washington, DC",Daily
Mobridge Tribune,"Mobridge, SD",
Modesto Bee,"Modesto, CA",
Modesto Bee – Manteca Bureau,"Manteca, CA",Daily
Modesto Bee – Manteca Bureau,"Ripon, CA",Daily
Modesto Bee – Turlock Bureau,"Turlock, CA",Daily
Moffat County Morning News,"Craig, CO",Daily
Mohave Valley Daily News,"Bullhead City, AZ",
Mojave Desert News,"California City, CA",
Molalla Pioneer,"Molalla, OR",
Monadnock Ledger,"Peterborough, NH",
Monadnock Shopper News,"Keene, NH",
Monday Mini,"Beaver Dam, WI",Daily
Monett Times,"Monett, MO",
Money & Business [New York Times],"New York, NY",Daily
Money & Business [St. Petersburg Times],"Saint Petersburg, FL",Daily
Money & Careers [Newsday],"Melville, NY",Daily
Money [Bismarck Tribune],"Bismarck, ND",Daily
Money and Business [Providence Journal],"Providence, RI",Daily
Money Report [Detroit Free Press],"Detroit, MI",Daily
Money Wise [Kansas City Star],"Kansas City, MO",Daily
Monitor,"McAllen, TX",
Monitor,"Trenton, NJ",Weekly
Monitor,"Brookeville, MD",Daily
Monitor Newspapers,"Marietta, SC",
"Monroe County Publishers, Inc.","Sparta, WI",
Monroe Dispatch,"Monroe, LA",
Monroe Evening News,"Monroe, MI",
Monroe Journal,"Monroeville, AL",
Monroe Times,"Monroe, WI",Daily
Monroe Watchman,"Union, WV",Weekly
Montachusett Telegram and Gazette,"Leominster, MA",Weekly
Montage [New Braunfels Herald-Zeitung],"New Braunfels, TX",Daily
Montana Kaimin,"Missoula, MT",Daily
Montana Standard,"Butte, MT",
Montclarion,"Alameda, CA",Weekly
Monterey County Herald,"Monterey, CA",
Monterey County Herald – Salinas Bureau,"Salinas, CA",Daily
Monterey County Weekly,"Seaside, CA",Weekly
Montgomery Advertiser,"Montgomery, AL",
Montgomery County Midweek,"Trevose, PA",Weekly
Montgomery County Sentinel,"Rockville, MD",
Montgomery Independent,"Montgomery, AL",
Montgomery Newspapers,"Fort Washington, PA",
Montgomery Newspapers,"Souderton, PA",
Montgomery Village Gazette,"Gaithersburg, MD",Weekly
Monticello News,"Monticello, FL",
Monticello Shopper,"Monticello, MN",Weekly
Montrose Daily Press,"Montrose, CO",
Moore County News Press,"Dumas, TX",
Morning Call,"Allentown, PA",
Morning Call,"Easton, PA",
Morning Call,"Harrisburg, PA",
Morning Call,"Bethlehem, PA",
Morning Call – Bethlehem Bureau,"Bethlehem, PA",Daily
Morning Call – Easton Bureau,"Easton, PA",Daily
Morning Call – Harrisburg Bureau,"Harrisburg, PA",Daily
Morning Call – Lehighton Bureau,"Lehighton, PA",Daily
Morning Call – Quakertown Bureau,"Quakertown, PA",Daily
Morning Call – Washington Bureau,"Washington, DC",Daily
Morning Herald,"Hagerstown, MD",
Morning Journal,"Lorain, OH",
Morning Journal,"Lisbon, OH",
Morning News,"Springdale, AR",
Morning News,"Florence, SC",Daily
Morning News,"Blackfoot, ID",Daily
Morning News – Rogers Bureau,"Rogers, AR",Daily
Morning Sentinel,"Waterville, ME",
Morning Sun,"Mount Pleasant, MI",
Morning Sun,"Pittsburg, KS",Daily
Morning Times,"Sayre, PA",
Morris Daily Herald,"Morris, IL",
"Morris Multimedia, Inc.","Oakdale, CA",
Morris Sun Tribune,"Morris, MN",
Morrisons Cove Herald,"Martinsburg, PA",
Moscow Pullman Daily News,"Moscow, ID",
Moscow-Pullman Daily News,"Moscow, ID",Daily
Moscow-Pullman Daily News – Pullman Bureau,"Pullman, WA",Daily
Motor City [Detroit Free Press],"Detroit, MI",Daily
Motoring [Star Tribune],"Minneapolis, MN",Daily
Motorway [Sun],"San Bernardino, CA",Daily
Moultrie Observer,"Moultrie, GA",Daily
Moundsville Daily Echo,"Moundsville, WV",
Mount Airy Gazette,"Mount Airy, MD",Weekly
Mount Airy News,"Mount Airy, NC",
Mount Ayr Record-News,"Mount Ayr, IA",
Mount Carmel Republican-Register,"Mount Carmel, IL",
Mount Olive Tribune,"Mount Olive, NC",
Mount Pleasant Daily Tribune,"Mount Pleasant, TX",
Mount Pleasant News,"Mount Pleasant, IA",Daily
Mount Vernon News,"Mount Vernon, OH",
Mount Vernon Optic-Herald,"Mount Vernon, TX",
Mountain Citizen,"Inez, KY",
Mountain Democrat,"Placerville, CA",
Mountain Grove News Journal,"Mountain Grove, MO",
Mountain Mail,"Salida, CO",Daily
Mountain Messenger,"Downieville, CA",
Mountain Pennysaver,"Catskill, NY",Weekly
Mountain Press,"Sevierville, TN",
Mountain Times,"Killington, VT",
Mountain View Voice,"Mountain View, CA",
Mountain Xpress,"Asheville, NC",Weekly
Movie Times [Seattle Times],"Seattle, WA",Daily
Movies [Dallas Morning News],"Dallas, TX",Daily
MPG Newspapers,"Plymouth, MA",Daily
Mukilteo Beacon,"Mukilteo, WA",
Mulberry Press,"Mulberry, FL",
Mullens Advocate,"Mullens, WV",
Multnomah Village Post,"Portland, OR",
Mundo Hispanico,"Atlanta, GA",Weekly
Munising News,"Munising, MI",
Murray Ledger & Times,"Murray, KY",
Murray Ledger and Times,"Murray, KY",Daily
Muscatine Journal,"Muscatine, IA",
Music [Quincy Herald-Whig],"Quincy, IL",Daily
Muskegon Chronicle,"Muskegon, MI",
Muskogee Daily Phoenix & Times-Democrat,"Muskogee, OK",Daily
Muslim Journal,"Homewood, IL",
Mustang Daily,"San Luis Obispo, CA",Daily
Myrtle Beach Neighbors,"Myrtle Beach, SC",Daily
Myrtle Point Herald,"Myrtle Point, OR",
Napa Valley Register,"Napa, CA",
Naperville SUN,"Naperville, IL",
Naples Daily News,"Naples, FL",
Naples Daily News,"Marco Island, FL",
Naples Monitor,"Naples, TX",
Narragansett Times,"Wakefield, RI",
Nashoba Publications Inc.,"Ayer, MA",
Nashville City Paper,"Nashville, TN",Daily
Nashville Pride,"Nashville, TN",
